from,to,tipo
CI1106,CS1502,correquisito
CS1502,CI1106,correquisito
FI1101,MA1102,correquisito
FI1201,FI1101,correquisito
MA0101,MA1102,requisito
QU1102,QU1106,correquisito
QU1106,QU1102,correquisito
CA2125,CA3125,requisito
CI1106,CI1107,requisito
CS1502,CS2101,requisito
FI1101,FI1102,requisito
FI1201,FI1102,requisito
MA1102,FI1102,requisito
FI1102,FI1202,correquisito
FI1201,FI1202,requisito
FI1202,FI1102,correquisito
MA1102,MA1103,requisito
MA1102,MT2001,requisito
MT2001,MT2002,correquisito
MT2002,MT2001,correquisito
FI1101,FI2103,requisito
MA1102,FI2103,requisito
MA1103,MA2104,requisito
MT2001,MT3001,requisito
MT3001,MT3002,correquisito
MT2001,MT3002,requisito
MT3002,MA2104,correquisito
MT3002,MT3001,correquisito
FI1102,MT3003,requisito
MT2001,MT3003,requisito
MT3003,MT3004,correquisito
FI1102,MT3004,requisito
MT3004,MT3003,correquisito
MA1103,MA2105,requisito
MI2101,ME3208,requisito
ME3208,ME3209,correquisito
ME3209,ME3208,correquisito
FI1101,MI2106,requisito
MI2101,MI2106,requisito
MI2101,MI3103,requisito
MI3103,MI3104,correquisito
MI3104,MI3103,correquisito
CA3125,MT4001,requisito
MT3001,MT4001,requisito
MT4001,MT4002,correquisito
MT4002,MT4001,correquisito
CI0205,CI3202,requisito
CS2101,CS3401,requisito
MI2106,MI3115,requisito
MI3115,ME3208,correquisito
MI2106,MI3117,requisito
MA2105,MT5002,requisito
MT4001,MT5002,requisito
MT3003,MT5003,requisito
MT5003,MT5004,correquisito
MT3004,MT5004,requisito
MT5004,MT5003,correquisito
MT5002,CM3207,requisito
CM3207,MT6001,correquisito
CS3401,CS4402,requisito
FH1000,CS4402,requisito
MI3103,MI3124,requisito
MA2105,MT6001,requisito
MT5002,MT6001,requisito
MI3117,MT6002,requisito
MT6002,MT6003,correquisito
MT6003,MT6002,correquisito
MT4001,MT7002,requisito
MT7002,MT7001,correquisito
MT5003,MT7003,requisito
MT6002,MT7004,requisito
MI3115,MT7006,requisito
MI3124,MT7006,requisito
MT6001,SO4604,requisito
SO4604,AE4208,requisito
MT7001,MT8001,requisito
MI3103,MT8003,requisito
MT8003,MT8002,correquisito
MT7003,MT8004,requisito
MT7001,EL5408,requisito
EL5408,EL5409,correquisito
EL5409,EL5408,correquisito
MT8004,MT7005,requisito
MT7005,MT9001,correquisito
MT8003,MT9001,requisito
MT9001,MT9002,correquisito
MT8003,MT9002,requisito
AE4208,MT9003,requisito
EL5408,MT9003,requisito
EL5409,MT9003,requisito
MT9001,MT9003,requisito
MT9002,MT9003,requisito
MT8004,MT9004,requisito
