id,label,bloque,creditos,horas,area
CI0205,PRUEBA AVANZADA INGLÉS,0,0,0,
MA0101,MATEMÁTICA GENERAL,0,2,5,
CA2125,ELEMENTOS DE COMPUTACIÓN,1,3,4,
CI1106,COMUNICACIÓN ESCRITA,1,2,6,
CS1502,INTRODUCCIÓN A LA TÉCNICA CIENCIA Y TECNOLOGÍA,1,1,2,
FI1101,FÍSICA GENERAL I,1,3,4,
FI1201,LABORATORIO FÍSICA GENERAL I,1,1,2,
MA1102,CÁLCULO DIFERENCIAL E INTEGRAL,1,4,5,
QU1102,LABORATORIO DE QUÍMICA BÁSICA I,1,1,2,
QU1106,QUÍMICA BÁSICA I,1,3,4,
SE1100,ACTIVIDAD CULTURAL I,1,0,2,
CA3125,ANÁLISIS Y DISEÑO DE ALGORITMOS,2,3,4,
CI1107,COMUNICACIÓN ORAL,2,1,3,
CS2101,AMBIENTE HUMANO,2,2,6,
FH1000,CENTROS DE FORMACIÓN HUMANÍSTICA,2,0,2,
FI1102,FÍSICA GENERAL II,2,3,4,
FI1202,LABORATORIO FÍSICA GENERAL II,2,1,2,
MA1103,CÁLCULO Y ALGEBRA LINEAL,2,4,4,
MT2001,CIRCUITOS ELÉCTRICOS EN CC Y CA,2,3,4,
MT2002,LABORATORIO DE CIRCUITOS DE CORRIENTE CONTINUA Y CORRIENTE ALTERNA,2,1,2,
SE1200,ACTIVIDAD DEPORTIVA I,2,0,2,
FI2103,FÍSICA GENERAL III,3,3,4,
MA2104,CÁLCULO SUPERIOR,3,4,4,
MI2101,DIBUJO TÉCNICO,3,3,9,
MT3001,ELECTRÓNICA ANALÓGICA,3,3,4,
MT3002,LABORATORIO DE ELECTRÓNICA ANALÓGICA,3,1,2,
MT3003,MÁQUINAS ELÉCTRICAS PARA MECATRÓNICA,3,3,4,
MT3004,LABORATORIO DE MÁQUINAS ELÉCTRICAS PARA MECATRÓNICA,3,1,4,
MA2105,ECUACIONES DIFERENCIALES,4,4,4,
ME3208,TECNOLOGÍA DE MATERIALES,4,2,3,
ME3209,LABORATORIO DE TECNOLOGÍA DE MATERIALES,4,1,2,
MI2106,ESTÁTICA,4,3,4,
MI3103,PROCESOS DE MANUFACTURA,4,3,3,
MI3104,LABORATORIO PROCESOS DE MANUFACTURA,4,2,4,
MT4001,ELECTRÓNICA DIGITAL,4,3,4,
MT4002,LABORATORIO ELECTRÓNICA DIGITAL,4,1,2,
SE1400,ACTIVIDAD CULTURAL-DEPORTIVA,4,0,2,
CI3202,INGLÉS PARA MECATRÓNICA,5,1,3,
CS3401,SEMINARIO DE ESTUDIOS FILOSÓFICOS HISTÓRICOS,5,2,3,
MI3115,RESISTENCIA DE MATERIALES,5,3,4,
MI3117,DINÁMICA,5,3,4,
MT5002,MODELOS DE SISTEMAS PARA MECATRÓNICA,5,3,4,
MT5003,ELECTRÓNICA DE POTENCIA APLICADA,5,4,12,
MT5004,LABORATORIO DE ELECTRÓNICA DE POTENCIA APLICADA,5,2,10,
CM3207,MÉTODOS NUMÉRICOS PARA INGENIERÍA,6,3,4,
CS4402,SEMINARIO DE ESTUDIOS COSTARRICENSES,6,2,3,
MI3124,DIBUJO INDUSTRIAL,6,4,4,
MT6001,PROBABILIDAD Y PROCESOS ESTOCÁSTICOS,6,3,3,
MT6002,TERMOFLUIDOS,6,4,4,
MT6003,LABORATORIO DE TERMOFLUIDOS,6,1,2,
MT7002,SENSORES Y ACTUADORES,7,3,4,
MT7003,MICROPROCESADORES Y MICROCONTROLADORES,7,3,4,
MT7004,NEUMÁTICA Y OLEOHIDRÁULICA,7,3,4,
MT7006,DISEÑO MÁQUINAS Y MECANISMOS,7,4,4,
SO4604,SEGURIDAD Y SALUD OCUPACIONAL,7,3,3,
AE4208,DESARROLLO DE EMPRENDEDORES,8,4,4,
MT8001,TEORÍA DE COMUNICACIÓN Y PROCESAMIENTO DE SEÑALES,8,3,3,
MT8003,SISTEMAS DE MANUFACTURA,8,4,5,
MT8004,ELECTIVA,8,4,4,
EL5408,CONTROL AUTOMÁTICO,9,4,4,
EL5409,LABORATORIO DE CONTROL AUTOMÁTICO,9,2,4,
MT7005,FORMULACIÓN DE PROYECTOS,9,2,4,
MT9001,DISEÑO DE SISTEMAS MECATRÓNICOS,9,4,4,
MT9002,MANTENIMIENTO DE SISTEMAS MECATRÓNICOS,9,4,4,
MT9003,PROYECTO FINAL DE GRADUACIÓN,10,10,20,
MT9004,ELECTIVA II,10,4,4,
